"","Name","Designation","Department","Qualification"
"2045","LIAO,PENTING","Clinical Instructor","Medical Sciences","DVM 2009 National Taiwan University"
"2046","LIBLIT,BEN","Associate Professor","Computer Sciences","PHD 2004 Univ of California Berkeley"
"2047","LIESCH,PJ","Asst Faculty Assoc","Entomology","MS 2010 Univ of Wisconsin-Madison"
"2048","LIGHT,MICHAEL THOMAS","Associate Professor","Sociology","PHD 2013 Pennsylvania State University"
"2049","LIKOS,WILLIAM","Professor","Civil &amp; Environmental Engr","PHD 2000 Colorado School of Mines"
"2050","LIM,BYUNG-JIN","Associate Professor","Asian Languages &amp; Cultures","PHD 2003 Indiana University"
"2051","LIM,CHAEYOON","Professor","Sociology","PHD 2007 Harvard University"
"2052","LIM,NOAH","Professor","Marketing","PHD 2005 University of Pennsylvania"
"2053","LIN,JASON CHIEH-SHEN","Senior Lecturer","Engr Professional Development","PHD 1988 Univ of Wisconsin-Madison"
"2054","LINDBERG,SARA","Asst Professor (CHS)","Population Health Sciences","PHD 2008 Univ of Wisconsin-Madison"
"2055","LINDEMANN,ABBY","Lecturer","Counseling Psychology","PHD 2017 Univ of Wisconsin-Madison"
"2056","LINDEROTH,JEFFREY","Professor","Industrial &amp; Systems Engr","PHD 1998 Georgia Inst of Technology"
"2057","LINDQUIST,MARK A","Senior Lecturer","Wisconsin School Of Business","PHD 1981 Indiana University"
"2058","LINDROTH,RICK","Professor","Entomology","PHD 1984 Univ of IL at Urbana-Champaign"
"2059","LINDSAY,KEISHA","Associate Professor","Gender And Women Studies","PHD 2009 University of Chicago"
"2060","LINSMEIER,THOMAS J.","Professor","Accting &amp; Info Sys","PHD 1985 Univ of Wisconsin-Madison"
"2061","LINTNER,KIM","Clinical Instructor","Academic Affairs","PHARMD 2001 Univ of Wisconsin-Madison"
"2062","LIPASTI,MIKKO","Professor","Electrical &amp; Computer Engr","PHD 1997 Carnegie-Mellon University"
"2063","LIPINSKI,ROBERT JAN","Associate Professor","Comparative Biosciences","PHD 2008 Univ of Wisconsin-Madison"
"2064","LISOWSKI,DAN","Associate Professor","Theatre &amp; Drama","MFA 2009 Yale University"
"2065","LITOVSKY,RUTH Y","Professor","Communication Sci &amp; Disorders","PHD 1991 Univ of Massachusetts Amherst"
"2066","LITZELMAN,KRISTIN","Assistant Professor","School Of Human Ecology","PHD 2013 Univ of Wisconsin-Madison"
"2067","LIU,BO","Professor","Surgery","PHD 1993 SUNY Health Sci Cntr-Syracuse"
"2068","LIU,GLENN","Professor","Medicine","MD 1997 Thomas Jefferson University"
"2069","LIU,KAIBO","Associate Professor","Industrial &amp; Systems Engr","PHD 2013 Georgia Inst of Technology"
"2070","LIU,QING","Associate Professor","Marketing","PHD 2006 Ohio State University"
"2071","LIU,RAN","Assistant Professor","Educational Policy Studies","PHD 2019 University of Pennsylvania"
"2072","LIU,YAO","Assistant Professor","Ophthalmology&amp;Visual Sciences","MD 2008 Harvard University"
"2073","LIVANOS,CHRISTOPHER","Professor","Comp Lit &amp; Folklore Studies","PHD 2001 Harvard University"
"2074","LIVNY,MIRON","Professor","Computer Sciences","PHD 1984 Weizmann Institute of Science"
"2075","LIVORNI,ERNESTO","Professor","French And Italian","PHD 1990 University of Connecticut"
"2076","LIWE,AMELIA JOAN","Faculty Associate","Se Asian Summer Studies Inst","PHD 2010 Univ of Wisconsin-Madison"
"2077","LLOYD,RICARDO V","Professor","Pathology&amp;Laboratory Medicine","PHD 1975 Univ of Wisconsin-Madison"
"2078","LO,ADELINE Y","Assistant Professor","Political Science","PHD 2016 Univ of California San Diego"
"2079","LOCKMAN,RAY","Instructional Spec","Information School","MA 2011 Univ of Wisconsin-Madison"
"2080","LOCONTE,NOELLE","Associate Professor","Medicine","MD 2000 Univ of Illinois at Chicago"
"2081","LOEB,DAN","Professor","Oncology","PHD 1988 Univ Of NC At Chapel Hill"
"2082","LOEBER,SAMANTHA","Clinical Asst Prof","Surgical Sciences","DVM 2015 Colorado State University"
"2083","LOESER,THOMAS","Professor","Art","MFA 1992 U of Massachusetts Dartmouth"
"2084","LOEW,PATTY","Professor","Life Sciences Communication","PHD 1998 Univ of Wisconsin-Madison"
"2085","LOEWE,LAURENCE","Assistant Professor","Genetics","PHD 2002 Technische Universitat Munchen"
"2086","LOEWEN,CARIN","Asst Faculty Assoc","Genetics","PHD 2005 Colorado State University"
"2087","LOFTON,LAUREN K.","Lecturer","Real Estate &amp; Urgan Land Econ","JD 2003 Washington University"
"2088","LOGAN,JOHN A.","Professor","Sociology","PHD 1977 Cornell University"
"2089","LOH,PO-LING","Associate Professor","Statistics","PHD 2014 Univ of California Berkeley"
"2090","LOH,WEI-YIN","Professor","Statistics","PHD 1982 Univ of California Berkeley"
"2091","LOHEIDE II,STEVEN PAUL","Professor","Civil &amp; Environmental Engr","PHD 2006 Stanford University"
"2092","LOKUTA,ANDREW J","Faculty Associate","Kinesiology","PHD 1993 Univ Of Maryland At Baltimore"
"2093","LONG,AAMINAH","Lecturer","Counseling Psychology","EDM 2018 University of Pennsylvania"
"2094","LONG,MICAH THOMAS","Asst Professor (CHS)","Anesthesiology","MD 2009 Univ of Wisconsin-Madison"
"2095","LONG,XIAOYANG","Assistant Professor","Operations &amp; Information Mgmt","PHD 2017 Hong Kong Univ of Sci &amp; Tech"
"2096","LONGLEY,BRUCE JACK","Professor","Dermatology","MD 1979 Univ of Wisconsin-Madison"
"2097","LOOK,KEVIN","Assistant Professor","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"2098","LOPEZ,LORI","Associate Professor","Communication Arts","PHD 2012 Univ of Southern California"
"2099","LOPEZ-HERNANDEZ,ARNOLDO","Lecturer","Food Science","PHD 2006 Universidad Veracruzana"
"2100","LOR,MAICHOU","Assistant Professor","Nursing","PHD 2017 Univ of Wisconsin-Madison"
"2101","LORD PLUMMER,KIM","Senior Lecturer","Comparative Biosciences","PHD 1992 Univ of Wisconsin-Madison"
"2102","LOTHARY,BRITTA N","Clinical Instructor","Nursing","MSN 2012 Maryville Univ Of St. Louis"
"2103","LOTHE,KATIE","Clinical Assoc Prof","Nursing","DNP 2012 Univ of Wisconsin-Milwaukee"
"2104","LOTTA,CORISSA","Faculty Associate","Counseling Psychology","PHD 2001 Arizona State University"
"2105","LOUDEN,MARK","Professor","German, Nordic &amp; Slavic","PHD 1988 Cornell University"
"2106","LOUIE,NICOLE L","Assistant Professor","Curriculum And Instruction","PHD 2015 Univ of California Berkeley"
"2107","LOVELACE,DAVID MICHAEL","Assistant Scientist","Geoscience","PHD 2012 Univ of Wisconsin-Madison"
"2108","LOYD,JENNA M","Assistant Professor","Geography","PHD 2005 U of California Ext-Berkeley"
"2109","LU,QIONGSHI","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2017 Yale University"
"2110","LU,REBECCA WILLETT","Associate Professor","Electrical &amp; Computer Engr","PHD 2005 Rice University"
"2111","LUBNER,SAM JOSEPH","Assoc Professor (CHS)","Medicine","MD 2003 Univ of Wisconsin-Madison"
"2112","LUBSEN,JULIA R","Asst Professor (CHS)","Family Medicine","MD 2013 Yale University"
"2113","LUBY,CLAIRE","Assoc Lecturer","Biology Core Curriculum","PHD 2016 Univ of Wisconsin-Madison"
"2114","LUCEY,JOHN A.","Professor","Food Science","PHD 1992 Ireland (Eire)"
"2115","LUCEY,MICHAEL R","Professor","Medicine","MD 1985 Univ of Dublin-Trinity College"
"2116","LUCK,BRIAN","Assistant Professor","Biological Systems Engineering","PHD 2013 Mississippi State University"
"2117","LUDOIS,DANIEL COLIN","Associate Professor","Electrical &amp; Computer Engr","PHD 2011 Univ of Wisconsin-Madison"
"2118","LUDWIG,KIP ALLAN","Visiting Assoc Prof","Biomedical Engineering","PHD  "
"2119","LUEDTKE,JIM","Professor","Industrial &amp; Systems Engr","PHD 2007 Georgia Inst of Technology"
"2120","LUKSZYS,PETER B","Senior Lecturer","Grainger Ctr For Scm","MBA 2001 Univ of Wisconsin-Madison"
"2121","LUND,JANE RENEE","Clinical Instructor","Surgical Sciences","DVM 2007 Univ of Wisconsin-Madison"
"2122","LUPYAN,GARY","Associate Professor","Psychology","PHD 2007 Carnegie-Mellon University"
"2123","LUSTGARTEN,SAMUEL D","Clinical Asst Prof","Counseling Psychology","PSYD 2018 University of Iowa"
"2124","LUTZ,ROBERT SCOTT","Associate Professor","Forest &amp; Wildlife Ecology","PHD 1987 Oregon State University"
"2125","LUZZIO,CHRISTOPHER C","Assoc Professor (CHS)","Neurology","MD 1993 Univ of Kansas Medical Center"
"2126","LYNCH,DAN","Associate Professor","Accting &amp; Info Sys","PHD 2014 Michigan State University"
"2127","LYNN,DAVID M.","Professor","Chemical &amp; Biological Engr","PHD 1999 California Institute of Tech"
"2128","LYONS,JOHN DAVID","Assoc Lecturer","Integrative Biology","PHD 1984 Univ of Wisconsin-Madison"
"2129","MA,CHU","Assistant Professor","Electrical &amp; Computer Engr","PHD 2019 Massachusetts Inst Of Tech"
"2130","MA,ZHENQIANG","Professor","Electrical &amp; Computer Engr","PHD 2001 Univ of Michigan at Ann Arbor"
"2131","MACASAET,DAVID WEBER","Lecturer","Counseling Psychology","MFA 2005 University of Montana"
"2132","MACAULAY,MONICA","Professor","Language Sciences Program","PHD 1987 Univ of California Berkeley"
"2133","MACDONALD,MARYELLEN","Professor","Psychology","PHD 1986 Univ of California Los Angeles"
"2134","MACE,DAKOTA","Spec Act Helper-Lte","Exhibits &amp; Collections","MFA 2017 Univ of Wisconsin-Madison"
"2135","MACGUIDWIN,ANN E.","Professor","Plant Pathology","PHD 1983 Michigan State University"
"2136","MACHOIAN,RONALD","Senior Lecturer","Is Major","PHD 2002 Univ of Missouri-Kansas City"
"2137","MACKAY,JOHN","Associate Professor","Philosophy","PHD 2011 Princeton University"
"2138","MACOMBER,KELSEY","Assoc Lecturer","Dance","CER 2014 "
"2139","MADDEN,HALEY","Assoc Outreach Spec","General Administration","PHD 2017 Univ of Wisconsin-Madison"
"2140","MADUREIRA,LUIS","Professor","African Cultural Studies","PHD 1991 Univ of California San Diego"
"2141","MAEDA,HIROSHI","Associate Professor","Botany","PHD 2006 Michigan State University"
"2142","MAES,MARINA","Asst Professor (CHS)","Pharmacy","PHARMD 2017 Univ of Colorado at Denver"
"2143","MAGANTI,RAMA K","Professor (CHS)","Neurology","MBBS 1987 "
"2144","MAGNOLFI,LORENZO","Assistant Professor","Economics","PHD 2016 Yale University"
"2145","MAGNUSON,KATHERINE ANNE","Professor","Social Work","PHD 2002 Northwestern University"
"2146","MAGUIRE,MICHAEL","Assoc Faculty Assoc","Civil Society And Comm Studies","MS 1992 Univ of Wisconsin-Madison"
"2147","MAHALINGAM,RAMAMURTHY","Assistant Professor","Agronomy","PHD 1998 Clemson University"
"2148","MAHER,JESSICA M","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2011 Univ of Michigan at Ann Arbor"
"2149","MAHMOUD,AHMED I","Assistant Professor","Cell And Regenerative Biology","PHD 2012 Southwestern University"
"2150","MAHONEY,JANE E","Professor","Medicine","MD 1986 U of California San Francisco"
"2151","MAIER,JOSEPH MICHAEL","Adjunct Instructor","Law School","JD 1995 Univ of Wisconsin-Madison"
"2152","MAILICK,MARSHA","Professor Emer","Social Work","PHD 1976 Brandeis University"
"2153","MAKI,DENNIS G.","Professor Emer","Medicine","MD 1967 Univ of Wisconsin-Madison"
"2154","MAKI,LYNN MARIE","Assoc Lecturer","Counseling Psychology","MA 2012 Edgewood College"
"2155","MAKIELSKI,JONATHAN C","Professor","Medicine","MD 1979 University of Chicago"
"2156","MALCHOW,CATHERINE RITA","Clinical Instructor","Law School","JD  Univ of Wisconsin-Madison"
"2157","MALECKI,KRISTEN","Associate Professor","Population Health Sciences","PHD 2005 Johns Hopkins University"
"2158","MALITSKY,EUGENIA","Lecturer","Mathematics","MA 1991 Univ of California Berkeley"
"2159","MALLOY,MATTHEW","Adjunct Asst Prof","Electrical &amp; Computer Engr","PHD  Univ of Wisconsin-Madison"
"2160","MALLUCCI,PAOLA","Assistant Professor","Marketing","PHD 2013 Univ of Minnesota-Twin Cities"
"2161","MALONE,KRISTA-LEE MEGHAN","Faculty Associate","Curriculum And Instruction","PHD 2015 Univ of Wisconsin-Milwaukee"
"2162","MALSON-HUDDLE,ELIZABETH ROSS","Senior Lecturer","Wisconsin School Of Business","PHD 2009 Univ of Wisconsin-Madison"
"2163","MANDEL,MARK","Associate Professor","Medical Microbiology","PHD 2005 Princeton University"
"2164","MANGIULLI,KALA","Clinical Instructor","Disease Prevention Admin"," "
"2165","MANI,B. VENKAT","Professor","German, Nordic &amp; Slavic","PHD 2001 Stanford University"
"2166","MANKOWSKI,JOEL E","Senior Lecturer","Communication Sci &amp; Disorders","MS 1994 McDaniel College"
"2167","MANN,TERRY MICHAEL","Senior Lecturer","Industrial &amp; Systems Engr","MS 1998 Univ of Wisconsin-Madison"
"2168","MANS,CHRISTOPH","Clinical Assoc Prof","Surgical Sciences","DVM 2006 Universitat Leipzig"
"2169","MANSFIELD,MARSHA","Honorary Assoc/Fellow","Law School","JD 1984 Univ of Wisconsin-Madison"
"2170","MAO,LU","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2016 Univ Of NC At Chapel Hill"
"2171","MARAVELIAS,CHRISTOS","Professor","Chemical &amp; Biological Engr","PHD 2004 Carnegie-Mellon University"
"2172","MARCHE II,JORDAN DALE","Senior Lecturer","Astronomy","PHD 2011 Indiana University"
"2173","MARCOTT,SHAUN ANDREW","Assistant Professor","Geoscience","PHD 2011 Oregon State University"
"2174","MARCOUILLER,DAVID","Professor","Planning &amp; Landscape Arch","PHD 1992 Oklahoma State University"
"2175","MARES,MARIE-LOUISE","Professor","Communication Arts","PHD 1994 Univ of Wisconsin-Madison"
"2176","MARES-PERLMAN,JULIE ANNE","Professor","Ophthalmology&amp;Visual Sciences","PHD 1987 Univ of Wisconsin-Madison"
"2177","MARGOLIES,JUSTIN IRVING","Asst Faculty Assoc","Agricultural&amp;Applied Economics","MA 2016 "
"2178","MARGOLIS,AMANDA","Asst Professor (CHS)","Pharmacy","PHARMD 2009 Univ of Wisconsin-Madison"
"2179","MARI-BEFFA,GLORIA","Professor","Mathematics","PHD 1991 Univ of Minnesota-Twin Cities"
"2180","MARIN-SPIOTTA,ERIKA","Professor","Geography","PHD 2006 Univ of California Berkeley"
"2181","MARKEL,MARK D.","Professor","Medical Sciences","PHD 1990 Mayo Foundation"
"2182","MARKER,PAUL","Professor","Pharmacy","PHD 1998 Stanford University"
"2183","MARKLEY,JOHN L.","Professor","Biochemistry","PHD 1970 Harvard University"
"2184","MARLER,CATHERINE","Professor","Psychology","PHD 1990 Arizona State University"
"2185","MAROON,ELIZABETH","Assistant Professor","Atmospheric &amp; Oceanic Sciences","PHD 2011 Colorado State University"
"2186","MARQUES,FERNANDO JAVIER","Clinical Assoc Prof","Medical Sciences","DVM 2005 Universidad de Buenos Aires"
"2187","MARQUEZ,BENJAMIN","Professor","Political Science","PHD 1983 Univ of Wisconsin-Madison"
"2188","MARRETT,CORA BAGLEY","Professor Emer","Sociology","PHD 1968 Univ of Wisconsin-Madison"
"2189","MARSHALL,NANCY","Professor","Art History","PHD 1998 Yale University"
"2190","MARSHALL,SIMON LINDSAY","Assistant Professor","Mathematics","PHD 2010 Princeton University"
"2191","MARTEL-ARQUETTE,ANNA","Clinical Instructor","Surgical Sciences","DVM 2015 Univ of Wisconsin-Madison"
"2192","MARTELL,JEFFREY D","Assistant Professor","Chemistry","PHD 2015 Massachusetts Inst Of Tech"
"2193","MARTIN,ANN SMART","Professor","Art History","PHD 1993 Clg of William &amp; Mary-Virginia"
"2194","MARTIN,BETH","Professor (CHS)","Pharmacy","PHD 2006 Univ of Wisconsin-Madison"
"2195","MARTIN,JOHN","Assoc Lecturer","Counseling Psychology","EDD 2009 Univ of Wisconsin-Madison"
"2196","MARTIN,JONATHAN EDWARD","Professor","Atmospheric &amp; Oceanic Sciences","PHD 1992 University of Washington"
"2197","MARTIN,KERRY","Faculty Associate","Integrative Biology","MS 2007 Univ of Wisconsin-Madison"
"2198","MARTIN,LISA","Professor","Political Science","PHD 1989 Harvard University"
"2199","MARTIN,THOMAS F J","Professor","Biochemistry","PHD 1974 Harvard University"
"2200","MARTINEZ,MARCOS","Assoc Lecturer","Electrical &amp; Computer Engr","PHD 2016 Univ of Wisconsin-Madison"
"2201","MARTINS,JP","Assistant Professor","Medical Sciences","PHD 2016 "
"2202","MARTY,SARAH","Lecturer","Acad&amp;Prg-Noncredit","MS 2001 Univ of Wisconsin-Madison"
"2203","MARULASIDDAPPA,SURESH","Professor","Pathobiological Sciences","PHD 1995 Univ Of Minnesota-St Paul"
"2204","MARX,ABYGAIL","Assoc Lecturer","Communication Sci &amp; Disorders","MS 2011 Univ of Wisconsin-Madison"
"2205","MASON,ANDREA H","Professor","Kinesiology","PHD 2001 Simon Fraser University"
"2206","MASON,JOSEPH","Professor","Geography","PHD 1995 Univ of Wisconsin-Madison"
"2207","MASROUR,FARID","Associate Professor","Philosophy","PHD 2008 University of Arizona"
"2208","MASSEY,ANNE PATRICIA","Professor","Operations &amp; Information Mgmt","PHD 1991 Rensselaer Polytechnic Inst"
"2209","MASSOGLIA,MICHAEL A","Professor","Sociology","PHD 2006 Univ of Minnesota-Twin Cities"
"2210","MASSON,PATRICK","Professor","Genetics","PHD 1985 Fac Des Sci Agro DE Gembloux"
"2211","MASTERS,KRISTYN","Professor","Biomedical Engineering","PHD 2001 Rice University"
"2212","MATHEWS,JIM","Lecturer","Art","PHD 2013 Univ of Wisconsin-Madison"
"2213","MATHIEU,ROBERT D.","Professor","Astronomy","PHD 1983 Univ of California Berkeley"
"2214","MATHUR,SAMEER KUMAR","Associate Professor","Medicine","PHD 1999 Northwestern University"
"2215","MATOSIAN,MARK","Lecturer","School Of Business","PHD 1999 Univ of Wisconsin-Madison"
"2216","MATSUMURA,ELLA MAE","Professor","Accting &amp; Info Sys","PHD 1984 University of British Columbia"
"2217","MATSUMURA,JON S","Professor","Surgery","MD 1988 Northwestern University"
"2218","MATTHEWS,PERCIVAL G","Associate Professor","Educational Psychology","PHD 2010 Vanderbilt University"
"2219","MATTHIES,ROBIN","Assoc Lecturer","Social Work","MSW 2014 Univ of Wisconsin-Madison"
"2220","MATTILA,DANE","Lecturer","Counseling Psychology","EDM 2018 Univ of Wisconsin-La Crosse"
"2221","MATULIONIS,GAUDRIMAS","Asst Prof Of Mil Sci","Naval Science","MS 2015 Univ of California Los Angeles"
"2222","MAUK,MATTHEW","Lecturer","Art","MFA 2017 Univ of Wisconsin-Madison"
"2223","MAVRIKAKIS,MANOS","Professor","Chemical &amp; Biological Engr","PHD 1994 Univ of Michigan at Ann Arbor"
"2224","MAWST,LUKE","Professor","Electrical &amp; Computer Engr","PHD 1987 Univ of IL at Urbana-Champaign"
"2225","MAXIM,LAURENTIU","Professor","Mathematics","PHD 2005 University of Pennsylvania"
"2226","MAYER,KENNETH","Professor","Political Science","PHD 1988 Yale University"
"2227","MAYERS,JOSHUA B","Adjunct Asst Prof","Law, Society And Justice","JD 1991 Chicago-Kent College Of Law"
"2228","MAYHEW,BRIAN W","Professor","Accting &amp; Info Sys","PHD 1997 University of Arizona"
"2229","MAYNARD,DOUGLAS W.","Professor","Sociology","PHD 1979 U of California-Santa Barbara"
"2230","MAYS,TAMMY","Assoc Lecturer","Information School","PHD 2013 "
"2231","MAZACK,KATHRYN","Lecturer","Counseling Psychology","EDM 2008 Univ of Wisconsin-Madison"
"2232","MC ANULTY,JONATHAN FRANCIS","Professor","Surgical Sciences","PHD 1994 Univ of Wisconsin-Madison"
"2233","MC CAMMON,DAN","Professor","Physics","PHD 1971 Univ of Wisconsin-Madison"
"2234","MC CLAIN,ROB","Faculty Associate","Chemistry","PHD 2011 Univ of Wisconsin-Madison"
"2235","MC DANIEL,SARAH","Lecturer","Information School","MA 1998 Univ of Wisconsin-Milwaukee"
"2236","MC LEOD,DOUGLAS","Professor","Journalism&amp;Mass Communication","PHD 1989 Univ of Minnesota-Twin Cities"
"2237","MC SHANE-HELLENBRAND,KAREN","Faculty Associate","Dance","MFA 1989 Univ of Wisconsin-Madison"
"2238","MCADAMS,RYAN M","Assoc Professor (CHS)","Pediatrics","MD 2016 Medical College Of Wisconsin"
"2239","MCANDREWS,CAREY","Associate Professor","Planning &amp; Landscape Arch","PHD 2009 Univ of California Berkeley"
"2240","MCBRIDE,ERIN K.","Clinical Assoc Prof","Law School","JD 2003 University of Iowa"
"2241","MCCALLUM,JAMES SCOTT","Adjunct Assoc Prof","Lafollette Sch Of Publ Affairs","MA 2018 Johns Hopkins University"
"2242","MCCANTS,MICHAEL","Assoc Lecturer","Statistics","MS  Kansas State University"
"2243","MCCARTHY,DANIELLE ERIN","Associate Professor","Medicine","PHD 2006 Univ of Wisconsin-Madison"
"2244","MCCARTHY,LIZ","Sr Advisor","Office Of Undergrad Advising","MS 1991 Southern IL Univ.-Carbondale"
"2245","MCCARY,LINDSAY","Clinical Adjunct Asst Prof","Volunteer Staff","PHD 2011 Univ of Southern California"
"2246","MCCLEAN,MEGAN","Assistant Professor","Biomedical Engineering","PHD 2009 Harvard University"
"2247","MCCLURE,LAURA","Professor","Classic &amp; Ancient Near E Stds","PHD 1991 University of Chicago"
"2248","MCCLURG,TIM","Senior Lecturer","Operations &amp; Information Mgmt","PHD 1993 Purdue University"
"2249","MCCORD,ALEIA INGULLI","Assoc Faculty Assoc","Africa Center","PHD 2016 Univ of Wisconsin-Madison"
"2250","MCCOY,ALFRED","Professor","History","PHD 1977 Yale University"
"2251","MCCOY,M","Visiting Asst Prof","Communication Arts","PHD 2005 Northwestern University"
"2252","MCCOY,SARA","Asst Professor (CHS)","Medicine","MD 2010 Case Western Reserve Univ."
"2253","MCCULLEY,DAVID JAMES","Assistant Professor","Pediatrics","MD 2001 Thomas Jefferson University"
"2254","MCCULLOCH,TIMOTHY M","Professor","Surgery","MD 1985 Univ of Nebraska at Omaha"
"2255","MCCULLOH,KATE","Associate Professor","Botany","PHD 2004 University of Utah"
"2256","MCCULLOUGH,CHAD J","Adjunct Asst Prof","Mead Witter School Of Music","MM  University of Washington"
"2257","MCCURDY,MARTHA L","Lecturer","Kinesiology","PHD 1988 Northwestern University"
"2258","MCDERMOTT,MEGAN","Lecturer","Law School","JD 2000 Univ of California Berkeley"
"2259","MCDERMOTT,ROBERT F","Professor","Physics","PHD 2002 Univ of California Berkeley"
"2260","MCDONALD,DAVID MACLAREN","Professor","History","PHD 1988 Columbia University"
"2261","MCDOWELL,COLLEEN M","Assistant Professor","Ophthalmology&amp;Visual Sciences","PHD  University of Iowa"
"2262","MCDOWELL,THOMAS S","Associate Professor","Anesthesiology","PHD 1991 University of Iowa"
"2263","MCFARLAND,RICHARD","Assistant Professor","Anthropology","PHD 2011 "
"2264","MCGARR,KATHRYN","Assistant Professor","Journalism&amp;Mass Communication","PHD 2017 Princeton University"
"2265","MCGLAMERY,THOMAS","Faculty Associate","Engr Professional Development","PHD 2000 University of Texas at Austin"
"2266","MCGRANAHAN,PAMELA","Clinical Assoc Prof","Nursing","DNP 2012 Univ of Wisconsin-Madison"
"2267","MCINNES,BRIAN D","Associate Professor","School Of Human Ecology","EDD 2010 Univ of Minnesota-Duluth"
"2268","MCKELVEY,CHRISTOPHER","Lecturer","Economics","PHD 2005 Univ of California Los Angeles"
"2269","MCKEOWN,JAMES","Professor","Classic &amp; Ancient Near E Stds","PHD 1978 University of Cambridge"
"2270","MCKINNEY DE ROYSTON,MAXINE","Assistant Professor","Curriculum And Instruction","PHD 2011 Univ of California Berkeley"
"2271","MCKINNON,SARA","Associate Professor","Communication Arts","PHD 2008 Arizona State University"
"2272","MCKOWN,KEVIN M.","Professor (CHS)","Medicine","MD 1983 Wayne State University"
"2273","MCLELLAN,GILLIAN","Associate Professor","Surgical Sciences","PHD 2000 University of London"
"2274","MCMAHON,KATHERINE","Professor","Civil &amp; Environmental Engr","PHD 2002 Univ of California Berkeley"
"2275","MCMAHON,ROBERT J.","Professor","Chemistry","PHD 1985 Univ of California Los Angeles"
"2276","MCMANUS,PATRICIA","Professor","Plant Pathology","PHD 1994 Michigan State University"
"2277","MCMASTER,JAMES","Assistant Professor","Gender And Women Studies"," "
"2278","MCMILLAN,ALAN BLAIR","Assoc Professor (CHS)","Radiology","PHD 2007 Univ of Wisconsin-Madison"
"2279","MCMILLAN,DAWNA","Clinical Asst Prof","Nursing","DNP 2018 Univ of Illinois at Chicago"
"2280","MCNEEL,DOUGLAS GORDON","Professor","Medicine","PHD 1992 University of Chicago"
"2281","MCQUILLAN,MOLLIE THERESE","Assistant Professor","Ed Leadership&amp;Policy Analysis","PHD 2017 Northwestern University"
"2282","MEAD,JULIE F","Professor","Ed Leadership&amp;Policy Analysis","PHD 1994 Univ of Wisconsin-Madison"
"2283","MEAD,SCOTT MICHAEL","Clinical Assoc Prof","Medicine","MD 2002 Univ of Wisconsin-Madison"
"2284","MECOZZI,SANDRO","Professor","Pharmacy","PHD 1996 California Institute of Tech"
"2285","MEDINA,RUBEN","Professor","Spanish And Portuguese","PHD 1990 Univ of California San Diego"
"2286","MEDNICK,ADAM","Lecturer","Academic Programs"," "
"2287","MEDOW,JOSHUA ERIC","Associate Professor","Neurological Surgery","MD 1999 Univ of Illinois at Chicago"
"2288","MEHLE,ANDREW","Associate Professor","Medical Microbiology","PHD 2004 Harvard University"
"2289","MEIER,ALISON","Assoc Lecturer","Social Work","MSW 2011 Univ of Wisconsin-Madison"
"2290","MEILLER,LARRY","Professor Emer","Life Sciences Communication","PHD 1977 Univ of Wisconsin-Madison"
"2291","MEINE,CURT DONALD","Adjunct Assoc Prof","Forest &amp; Wildlife Ecology","PHD 1988 Univ of Wisconsin-Madison"
"2292","MEKEEL,WILLIAM JAMES","Senior Lecturer","Geography","MS 2011 Minnesota State Univ, Mankato"
"2293","MELLO,ANTONIO S","Professor","Finance","PHD 1987 University of London"
"2294","MELLOR,SCOTT","Lecturer","Acad&amp;Prg-Noncredit","PHD 1999 Univ of Wisconsin-Madison"
"2295","MENDONCA,ENEIDA A","Visiting Professor","Biostatistics&amp;Med Informatics","PHD 2002 Columbia University"
"2296","MENDOZA RIVERA,HENRY","Senior Lecturer","Statistics","MS 2011 "
"2297","MENECHELLA,GRAZIA","Associate Professor","French And Italian","PHD 1994 University of Toronto"
"2298","MENZEL,ANNIE","Assistant Professor","Gender And Women Studies","PHD 2014 University of Washington"
"2299","MERCADO,SARLI E","Senior Lecturer","Spanish And Portuguese","PHD 2011 Boston University"
"2300","MERMELSTEIN,OMER","Visiting Asst Prof","Mathematics","PHD  "
"2301","MERRINS,MATTHEW JAMES","Assistant Professor","Medicine","PHD 2008 Univ of Michigan at Ann Arbor"
"2302","MERTZ,JANET","Professor","Oncology","PHD 1975 Stanford University"
"2303","MESSINA,JAMES","Associate Professor","Philosophy","PHD 2011 University of San Diego"
"2304","MESSING,ALBEE","Acad Program Director","Waisman Center","PHD 1982 University of Pennsylvania"
"2305","METCALF,CARISSA ROSE","Assoc Lecturer","Social Work","MSW 2007 Univ of Wisconsin-Madison"
"2306","METZLOFF,KYLE ERIC","Professor L/I","Materials Science&amp;Engineering","PHD 2001 Univ of Wisconsin-Madison"
"2307","MEURIS,JIRS","Assistant Professor","Management &amp; Human Resources","PHD  University of Pittsburgh"
"2308","MEYER,DANIEL","Professor","Social Work","PHD 1990 Univ of Wisconsin-Madison"
"2309","MEYER,GABRIELE E.","Senior Lecturer","Testing &amp; Evaluation Services","PHD 1988 Univ of Wisconsin-Madison"
"2310","MEYER,KEITH C","Professor","Medicine","MD 1981 Univ of Wisconsin-Madison"
"2311","MEYER,LAUREN N","Lecturer","Educational Psychology","PSYD 2018 University of Arizona"
